lon,lat,verified
8.32565,46.97014,1
8.19362,46.92611,1
8.86675,47.54942,1
9.88346,46.5425,1
9.05366,47.14213,1
8.73722,47.68586,1
7.60456,47.51313,1
8.98516,47.05311,1
8.75373,47.67886,1
7.14808,46.02867,1
8.25278,47.17718,1
8.98257,46.96318,1
7.60087,46.29879,1
7.86716,47.15267,1
8.45281,46.74419,1
9.05096,47.0522,1
8.19425,46.97108,1
9.02044,46.01794,1
9.11534,47.0063,1
8.45876,47.05899,1
8.06494,47.15177,1
7.7935,45.98351,1
9.82823,46.76867,1
6.88707,46.29756,1
8.05821,46.94851,1
7.73066,46.29854,1
8.27476,46.97989,1
8.00953,46.94569,1
7.95663,46.90864,1
9.18253,47.05028,1
8.25381,46.56586,1
8.31702,47.0358,1
8.4579,47.01402,1
8.25111,46.38596,1
-5.04,40.24,1
-4.17,41.28,1
-3.83,41.31,1
-4.21,41.37,1
-2.64,40.18,1
-4.15,41.37,1
-3.16,41.34,1
-3.07,41.34,1
-3.06,40.89,1
-4.05,41.02,1
-4.28,42.09,1
-2.53,38.51,1
-4.39,42.05,1
-1.91,40.54,1
-3.79,41.48,1
-3.12,41.43,1
-3.84,41.12,1
-4.36,42.07,1
-3.76,40.94,1
-4.06,41.11,1
-4.38,42.04,1
-3.89,41.12,1
-3.94,41.48,1
-3.18,40.7,1
-3.21,41.52,1
-3.08,40.89,1
-3.96,40.66,1
-4.3,42.12,1
-3.95,41.1,1
-3.32,41.43,1
-3.37,41.2,1
-3.35,41.24,1
-5.33,41.83,1
41.26335,56.395194,1
87.183333,51.8,1
87.016667,52.283333,1
87.25,51.766667,1
41.550902,50.879818,1
10.8942,59.3465,1
7.07418,47.42273,1
7.5376,47.1984,1
7.33965,47.1984,1
6.36353,46.5187,1
6.81442,46.97186,1
7.07449,47.37776,1
9.01914,45.97297,1
8.9534,45.92889,1
8.93284,46.32766,1
7.53769,47.24338,1
9.15266,46.2098,1
7.33923,47.42326,1
7.47165,47.24341,1
8.00043,47.28702,1
7.40561,47.24341,1
7.93434,47.28733,1
8.19999,47.37583,1
8.06652,47.28668,1
9.01784,45.928,1
7.92373,46.11796,1
8.71021,46.52857,1
7.33931,47.37829,1
7.40558,47.28838,1
8.53924,46.36507,1
8.70185,46.2019,1
8.95589,46.01883,1
7.86009,46.25315,1
43.933333,42.816667,1
37.407769,54.916868,1
11.0821,59.2919,1
15.13978,58.66538,1
15.30436,58.37382,1
11.39667,44.22056,1
11.48194,44.17528,1
11.49833,44.14778,1
11.54694,44.10889,1
10.84556,44.10306,1
10.12528,44.32167,1
44.164595,42.884817,1
13.06736,55.53419,1
12.6,51.8,1
6.9,50.6,1
6.416667,46.0,1
10.437778,53.207222,1
19.957639,50.06425,1
11.425,44.14667,1
9.11583,45.80444,1
6.27944,46.19972,1
15.03028,40.87944,1
14.42083,41.40111,1
12.96417,67.96722,1
-3.10389,56.84417,1
20.48417,49.21861,1
22.04306,40.80806,1
14.06509,59.90693,1
19.0526,59.73943,1
11.42528,44.14944,1
11.4325,44.12139,1
14.08694,42.02528,1
14.08694,42.02528,1
12.96,47.67,1
12.79,47.62,1
11.12,49.57,1
13.04,47.57,1
12.87,47.62,1
9.56,49.94,1
13.04,47.52,1
12.87,47.57,1
12.79,47.72,1
12.96,47.52,1
10.96,50.02,1
12.87,47.77,1
11.54,48.07,1
12.87,47.67,1
13.04,47.67,1
23.32611,40.41472,1
44.54,48.51,1
16.08778,47.93944,1
15.82111,40.56444,1
6.975556,44.375278,1
8.265094,45.144692,1
8.270194,45.145912,1
13.207136,42.821699,1
13.208081,42.774061,1
13.539199,43.474448,1
13.121806,42.973349,1
13.121514,43.023641,1
12.956184,43.125307,1
13.205343,43.02522,1
13.208614,42.723192,1
13.120564,43.076235,1
13.289473,42.773349,1
9.36733,45.72841,1
16.350463,39.927614,1
13.205213,42.924289,1
13.292435,42.823425,1
13.289218,42.924509,1
13.206016,42.872918,1
13.289727,42.97393,1
13.28841,43.073272,1
13.038003,43.324015,1
13.207307,42.768742,1
8.97444,48.54,1
9.034737,44.410554,1
8.932699,44.411493,1
9.037188,44.473005,1
9.146748,44.562754,1
8.91806,44.42728,1
8.07116,44.299393,1
8.420594,44.243914,1
9.040564,44.481511,1
4.802986,45.723282,1
16.25,48.08333,1
-2.183611,40.691692,1
-4,43,1
-3.9,40.87,1
14.1933,55.72239,1
13.42905,58.21768,1
13.91045,60.02004,1
17.257865,58.867057,1
14.0463,56.27896,1
15.22258,60.30514,1
12.83964,59.14178,1
16.77637,58.51041,1
15.7931,60.41167,1
13.27302,55.71679,1
14.61687,58.98613,1
13.11947,57.78259,1
15.80776,58.52925,1
13.88024,55.506663,1
16.49913,58.74316,1
15.67907,56.30781,1
13.51681,59.95471,1
13.88013,57.91994,1
17.04244,59.34999,1
13.096551,56.053127,1
17.62555,59.9269,1
15.117232,56.225492,1
13.61419,59.98548,1
15.58166,56.22352,1
13.696578,60.032264,1
12.85201,59.14793,1
13.616965,56.001689,1
17.63442,59.86839,1
14.348893,55.556993,1
18.157814,59.740361,1
17.43025,60.28635,1
15.62028,58.40567,1
17.6409,59.81461,1
17.000399,59.888494,1
17.04286,59.36316,1
